city,lng,lat,subject,page,src,year
Buhy,"1,692491","49,1929749",0,70,25,1549
Paris,"2,3522219","48,856614",0,75,31,1557
Buhy,"1,692491","49,1929749",0,75,31,1559
Buhy,"1,692491","49,1929749",0,76,33,1559
Paris,"2,3522219","48,856614",0,77,34,1562
Buhy,"1,692491","49,1929749",0,78,35,1562
Montagny,"4,747658","45,620885",0,78,35,1562
Paris,"2,3522219","48,856614",0,79,37,1564
Paris,"2,3522219","48,856614",0,80,38,1566
Paris,"2,3522219","48,856614",0,81,39,1567
Buhy,"1,692491","49,1929749",0,81,39,1567
Buhy,"1,692491","49,1929749",0,82,40,1568
Paris,"2,3522219","48,856614",0,82,40,1568
Montargis,"2,736291","47,99729",0,82,40,1568
Nevers,"3,162845","46,990896",0,82,40,1568
Lyon,"4,835659","45,764043",0,82,40,1568
Genève,"6,1431577","46,2043907",0,82,40,1568
Francfort,"8,6821267","50,1109221",0,82,40,1568
Heidelberg,"8,6724335","49,3987524",0,83,42,1568
Francfort,"8,6821267","50,1109221",0,83,42,1569
Francfort,"8,6821267","50,1109221",0,84,43,1570
Suisse,"8,227512","46,818188",0,84,43,1570
Grison,"9,5780257","46,6569871",0,84,43,1570
Padoue,"11,8767611","45,4064349",0,84,43,1570
Venise,"12,3155151","45,4408474",0,84,43,1570
Venise,"12,3155151","45,4408474",0,85,44,1570
Venise,"12,3155151","45,4408474",0,86,45,1571
Gênes,"8,946256","44,4056499",0,86,45,1571
Gênes,"8,946256","44,4056499",0,87,47,1571
Ferrare,"11,619787","44,8381237",0,87,47,1571
Ancône,"13,518915","43,6158299",0,87,47,1571
Spoleto,"12,7378003","42,7404881",0,87,47,1571
Rome,"12,4963655","41,9027835",0,88,48,1571
Tivoli,"12,8022261","41,959817",0,88,48,1571
Rome,"12,4963655","41,9027835",0,88,48,1571
Milan,"9,189982","45,4642035",0,88,48,1571
Crémone,"10,0226511","45,133249",0,88,48,1571
Plaisance,"9,6929845","45,0526206",0,89,49,1571
Venise,"12,3155151","45,4408474",0,89,49,1571
Trente,"11,1217486","46,0747793",0,89,49,1571
Innsbruck,"11,4041024","47,2692124",0,89,49,1571
Linz,"14,28583","48,30694",0,89,49,1571
Vienne,"16,3738189","48,2081743",0,89,49,1571
Moravie,"18,2332637","49,7305327",0,89,49,1571
Bohême,"14,9362955","49,8782223",0,89,49,1571
Misnie,"13,4976592","51,1617842",0,89,49,1571
Thuringe,"10,845346","51,0109892",0,89,49,1571
Hesse,"9,1624376","50,6520515",0,89,49,1571
Franconie,"11,3216311","49,9599819",0,89,49,1571
Francfort,"8,6821267","50,1109221",0,89,49,1571
Cologne,"6,9602786","50,937531",0,89,49,1571
Francort,"8,6821267","50,1109221",0,90,50,1571
Francfort,"8,6821267","50,1109221",0,91,52,1571
Pays-Bas,"5,291266","52,132633",0,91,52,1572
Angleterre,"-1,1743197","52,3555177",0,91,52,1572
Angleterre,"-1,1743197","52,3555177",0,92,53,1572
Buhy,"1,692491","49,1929749",0,92,53,1572
Paris,"2,3522219","48,856614",0,92,53,1572
Paris,"2,3522219","48,856614",0,93,54,1572
Paris,"2,3522219","48,856614",0,94,56,1572
Paris,"2,3522219","48,856614",0,95,57,1572
Paris,"2,3522219","48,856614",0,96,59,1572
